222,,223,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
500,0.4355400801,530,3.470715761,
501.0599976,2.26860261,531.039978,3.546099186,
501.9599915,3.977021694,531.9400024,4.105839252,
503.0299988,3.482803822,532.9799805,6.222221851,
503.9299927,3.902862072,534.0200195,4.389815331,
505,-0.4329004586,535.0700073,5.378753662,
506.0599976,2.707581282,535.9699707,4.450378418,
506.9599915,-0.4389815629,537.0100098,5.415162563,
508.0299988,1.821493626,538.0499878,9.704252243,
508.9299927,0.883002162,538.9500122,5.116279125,
510,1.312910199,540,6.191950321,
511.0400085,-0.4504504502,541.039978,5.38841486,
511.9400024,-2.365184546,541.9400024,5.263158321,
512.9799805,2.213368654,542.9799805,7.073386669,
514.0200195,1.322751284,544.0200195,9.325044632,
515.0700073,-1.33155787,545.0700073,11.16071415,
515.9699707,2.25225234,545.9699707,11.16071415,
517.0100098,3.261882544,547.0100098,12.45551586,
518.0499878,2.224199295,548.0499878,13.64436626,
518.9500122,4.105839252,548.9500122,15.94827557,
520,3.700277567,550,17.23356056,
521.0599976,3.773584843,551.0200195,13.48920822,
521.960022,0.890075624,552.0499878,27.27272797,
523.0300293,0,552.9400024,28.01245117,
523.9299927,3.087781191,553.9699707,31.59768486,
525,-0.4535147548,555,33.63228607,
526.0599976,2.270663023,556.0200195,38.91402817,
526.960022,1.391465664,557.0499878,37.78677368,
528.0300293,4.440496922,557.9400024,49.34948349,
528.9299927,2.215330124,558.9699707,59.19566345,
530,1.815705895,560,70.89056396,
531.039978,2.293577909,561.039978,83.55555725,
531.9400024,4.151291847,561.9400024,82.78456879,
532.9799805,3.205128193,562.9799805,95.95735168,
534.0200195,0.4572473764,564.0200195,108.3295441,
535.0700073,7.68187952,565.0700073,114.6017685,
535.9699707,4.9129076,565.9699707,124.7185898,
537.0100098,2.700269938,567.0100098,141.3492432,
538.0499878,7.76255703,568.0499878,142.6648865,
538.9500122,4.979628563,568.9500122,172.6111908,
540,8.224479675,570,181.858017,
541.039978,7.367386818,571.039978,189.3333282,
541.9400024,5.484460831,571.9400024,199.3627625,
542.9799805,9.242144585,572.9799805,223.7544556,
544.0200195,9.843400955,574.0200195,231.9034729,
545.0700073,11.61232662,575.0700073,237.3759155,
545.9699707,9.708738327,575.9699707,235.1893005,
547.0100098,14.54545498,577.0100098,251.1415405,
548.0499878,12.84993172,578.0499878,254.0266876,
548.9500122,17.31207275,578.9500122,260.3739319,
550,20.69917107,580,264.7975159,
551.0200195,24.11282921,581.0200195,241.9354706,
552.0499878,24.47869492,582.0499878,259.7461243,
552.9400024,25.67567444,582.9400024,254.2218323,
553.9699707,29.78339386,583.9699707,252.3190918,
555,40.33379745,585,250.6899872,
556.0200195,37.6532402,586.0200195,248.0441742,
557.0499878,47.76647568,587.0499878,241.2380524,
557.9400024,49.60224915,587.9400024,229.8136597,
558.9699707,58.13953781,588.9699707,226.1690674,
560,68.7331543,590,224.907074,
561.039978,76.22504425,591.0200195,217.9662628,
561.9400024,81.21374512,592.0499878,191.8238983,
562.9799805,93.91534424,592.9400024,186.8527679,
564.0200195,101.7335815,593.9699707,183.0154419,
565.0700073,114.8558807,595,177.1321411,
565.9699707,121.5616684,596.0200195,166.4335785,
567.0100098,142.3455658,597.0499878,168.7242889,
568.0499878,159.303894,597.9400024,150.0433655,
568.9500122,170.1936188,598.9699707,151.1470947,
570,192.7288666,600,141.8918915,
571.039978,190.6016693,601.0200195,139.6825409,
571.9400024,198.2300873,602.0499878,122.1340408,
572.9799805,222.222229,602.9400024,126.8200989,
574.0200195,224.852066,603.9699707,111.7141571,
575.0700073,230.6610413,605,116.2790756,
575.9699707,234.5735016,606.0200195,101.7576294,
577.0100098,247.7518005,607.0499878,98.88143158,
578.0499878,246.1059265,607.9400024,102.89991,
578.9500122,266.1141663,608.9699707,98.47122192,
580,262.4613953,610,89.57345581,
581.0200195,268.1159363,611.0200195,106.4516144,
582.0499878,257.6361389,612.0499878,87.17480469,
582.9400024,263.9138184,612.9400024,82.85713959,
583.9699707,249.4432068,613.9699707,82.04895782,
585,234.2342224,615,73.19347382,
586.0200195,249.8847351,616.0200195,73.73271942,
587.0499878,232.6311035,617.0499878,69.71375275,
587.9400024,216.457962,617.9400024,74.9542923,
588.9699707,234.4519043,618.9699707,73.82868195,
590,208.1668854,620,79.57085419,
591.0200195,203.5398254,621.0100098,66.48199463,
592.0499878,206.6042023,622.0200195,67.12017822,
592.9400024,185.3178101,623.039978,64.39742279,
593.9699707,169.5220947,624.0499878,60.16790771,
595,179.3354645,625.0700073,57.95809174,
596.0200195,168.1293182,625.9400024,62.78435135,
597.0499878,173.0945892,626.9500122,63.97774887,
597.9400024,153.1291656,627.9699707,63.33630371,
598.9699707,138.5357208,628.9799805,57.59162521,
600,140.9749756,630,55.37902832,
601.0200195,134.4133148,631.0200195,52.79927444,
602.0499878,127.2885818,632.0499878,53.08530045,
602.9400024,119.8552704,632.9400024,54.28170395,
603.9699707,117.7504349,633.9699707,51.63897705,
605,109.2436981,635,50.8928566,
606.0200195,106.9995575,636.0200195,47.72624969,
607.0499878,112.4552002,637.0499878,48.08136749,
607.9400024,102.2624435,637.9400024,40.99821854,
608.9699707,95.23809814,638.9699707,42.52462006,
610,99.81851196,640,39.09843826,
611.0200195,91.30226135,641.0100098,40.58876038,
612.0499878,90.4977417,642.0200195,38.1850853,
612.9400024,84.92279816,643.039978,39.47958755,
613.9699707,81.14558411,644.0499878,35.66529465,
615,86.89591217,645.0700073,34.06544113,
